cap_level,diff_level,RMSE,R2,Spearman
0,0,1.2116348928368168,-7.316134899640568,0.1380148128834569
0,1,1.0791901973207167,-2.399593735056423,0.048385417976045376
0,2,1.1294076105712545,-1.6068563989632803,0.06108083170656135
0,3,1.235490257667051,-0.9595937180585017,0.04268517967763288
0,4,2.868261734569523,-1.1354489953130456,0.0421466995122822
1,0,1.2276419611401397,-21.03258464765399,0.07243472814481036
1,1,1.0009172807517503,-6.901722883098124,0.04342140799389987
1,2,1.0730876476259694,-4.148264865979923,-0.06232777094279214
1,3,1.1313738499044272,-2.2777962832491463,-0.01604312843222113
1,4,2.7148862695069496,-1.487741413701039,0.06319192843039262
2,0,1.2453210101007806,-37.17162399373609,0.03580490808921177
2,1,0.9777717602045064,-10.64639576368954,0.047324641458001325
2,2,1.0714753866149902,-6.312018645335633,-0.10736339654809979
2,3,1.0780516749682247,-3.348827359722521,-0.03977167226686774
2,4,2.710200468796103,-1.6575740729087292,0.0700732107378454
0,All,1.6342815018792596,-0.05885092001589376,0.25225711562283953
1,All,1.5523370718854732,-0.05638933835351434,0.27327220564781274
2,All,1.5430903312796937,-0.058284874962930555,0.2821213281186056
All,3,1.1501649706222665,-1.7509191286099388,-0.002836850749336128
All,4,2.7654245855694413,-1.395002981297147,0.05653817051174356
All,0,1.228276341937503,-13.232277522142297,0.10345580610136944
All,2,1.091655952277006,-3.060851442006194,-0.028831816623442415
All,1,1.0202163986060384,-4.532158334931729,0.04727143609645982
All,All,1.5771022142549467,-0.05645174348905235,0.271187511645542
