cap_level,diff_level,RMSE,R2,Spearman
0,0,219.89276130471097,0.928913288729479,0.8585090612448392
0,1,342.8913890458107,0.8274868434063736,0.7798254105371714
0,2,665.1254455132572,0.3189175105076476,0.6575985296902853
0,3,777.8606915402185,0.7150741553737641,0.7051557266489638
0,4,2251.53745924748,0.7866221653426305,0.8132863351993707
1,0,149.87746110170022,-0.8865284910525417,0.5122898671964665
1,1,391.43667590723015,-2.1019139632924304,0.5535102187780293
1,2,382.802074961385,-0.6403913491316777,0.4606638467935294
1,3,444.3355693635449,0.603359182070172,0.5738786237669419
1,4,1466.8881799317721,0.6676054761898942,0.6095733890825796
2,0,96.33630261111632,-1.4676427532025587,0.491719958813287
2,1,228.5709050888656,-3.584808152274597,0.48376511622349466
2,2,331.5965454596661,-2.585979305812663,0.42740614749406497
2,3,266.0536171742226,0.4221107286060388,0.44067782482001977
2,4,1103.40044064997,0.8056467991716493,0.5956160040445871
0,All,1125.7310807117758,0.8750973984740908,0.8314980603507645
1,All,733.3416359333078,0.7534258631946125,0.7322680289163126
2,All,545.4177012657736,0.8144967144434745,0.6766254143322871
All,1,328.1472406203302,0.6807892702261862,0.7031258262964843
All,0,163.39804468565183,0.9139575493291255,0.7428023621259987
All,2,482.66121860118244,0.3588571610337208,0.6277154903565118
All,3,539.5324768898039,0.7665460023648232,0.7086479191404477
All,4,1677.167691401657,0.8282833040309973,0.7836250391007802
All,All,837.1660309098156,0.8634895881704141,0.7939123188030706
