cap_level,diff_level,RMSE,R2,Spearman
0,0,0.14239209756321983,0.07929880632950692,0.42812281763383714
0,1,0.18838941283052882,0.1959592375749245,0.4837960674263275
0,2,0.23101886359522744,0.09270198926368334,0.4144704702975239
0,3,0.3631040784680351,-0.7684016088966521,0.28130724426685155
0,4,0.8934367340779473,-1.1639718799099268,0.23225545322232574
1,0,0.12295324487416019,-2.863911282173743,0.06346683487069325
1,1,0.16675892384181826,-2.62056672968135,0.04406679837350747
1,2,0.18473712714866058,-1.5703891887783064,0.016785078631572574
1,3,0.3092711856034309,-3.263933244512251,-0.02219759106718656
1,4,0.8367586647203866,-2.003757633523957,0.03756102812283055
2,0,0.11645234616867516,-2.075778965550912,0.06661325591832595
2,1,0.15849197296172277,-1.674813253023355,0.05536751151539914
2,2,0.1815293612102617,-1.123136939814383,0.0015937621711942505
2,3,0.2845365386801618,-1.686338806563037,0.007198169896943416
2,4,0.7896906852653561,-1.561410654621652,0.07554871448074366
0,All,0.4538381335177242,0.023389167410680867,0.39983481982371766
1,All,0.41596964002856407,-0.2294099014456752,0.22547695085639685
2,All,0.39237674570691733,-0.20100919593898436,0.22060525014523988
All,0,0.12774213452854633,-0.41800575378843097,0.23232923614776063
All,3,0.320652605316491,-1.185781285061724,0.14064209431022348
All,2,0.2003750071452495,-0.20293136408346069,0.2084302209629764
All,4,0.8410322306902356,-1.424649049126348,0.14915099199337475
All,1,0.17167684278008322,-0.2598168634014162,0.25765726603148603
All,All,0.4214891471247691,-0.08294343484693756,0.31062074029655523
