cap_level,diff_level,RMSE,R2,Spearman
0,0,0.22145041922110428,-1.2268960478552455,0.32314847831885507
0,1,0.23180325791936585,-0.21731830538081032,0.3592944734692277
0,2,0.28822626621870867,-0.4122844712571887,0.2744401486832192
0,3,0.3371816215855518,-0.5249178116650106,0.18338286130433942
0,4,0.7141608609891451,-0.38266221332220174,0.24920662999368626
1,0,0.20128414009850165,-9.355385473891248,0.0959541943569803
1,1,0.2061447435737343,-4.53277385453267,0.09192470635085268
1,2,0.25617455578041715,-3.942680045955745,0.024226667885680005
1,3,0.27490750635071404,-2.3690284249260007,-0.03907099680521358
1,4,0.6197547247141056,-0.6477986536477502,0.15537977010667958
2,0,0.18184644040757397,-6.500120581923707,0.16326091868263148
2,1,0.19197875842037393,-2.9245085562526683,0.19265605287561202
2,2,0.24168013218426235,-2.7632766632528227,0.1581975262704911
2,3,0.25925642651299324,-1.2301997297552494,0.057132107656624735
2,4,0.5909105400946323,-0.4341964862418042,0.1770660796011525
0,All,0.401331318074222,0.23629493463466977,0.47433797939994204
1,All,0.34816871604708327,0.13870300957713033,0.41548161990428667
2,All,0.3294359258503536,0.15339324831864776,0.4307818724154358
All,0,0.20217461192189076,-2.5519176787314093,0.25364679245968924
All,3,0.29239213262974845,-0.817475324053041,0.13174601816796494
All,2,0.26274770526132385,-1.0683860984016316,0.20720063736010694
All,4,0.643764170217931,-0.4206176649961577,0.22859357029944222
All,1,0.21062150046132597,-0.896222897035319,0.27043573646000535
All,All,0.3609322701661844,0.2058831594826207,0.46091414589038265
