cap_level,diff_level,RMSE,R2,Spearman
0,0,0.11265212573659303,-2.6967285013914695,-0.003979339537348697
0,1,0.12474977266779504,-1.6266401900503462,-0.058631266659343255
0,2,0.13980280607674073,-1.345130908610476,0.20576921216823374
0,3,0.21164811053583807,-1.2235793814966063,0.020370358952638747
0,4,0.3858963296761626,-2.3962766380924343,-0.25112688044720055
1,0,0.11531217596792949,-8.448049948028125,-0.05446145854995333
1,1,0.11651464692367396,-3.3624799485229966,0.0012086404693457107
1,2,0.123659373569525,-2.7451838943407636,0.16265615023720514
1,3,0.1890272704629701,-3.4014896076167,0.008320551681565548
1,4,0.3748955133976175,-3.2892277795371268,-0.3526657267265603
2,0,0.11432802260322787,-11.53823778538205,-0.09011652742481133
2,1,0.11699794230390226,-3.4098391041391523,0.07645460547690719
2,2,0.11734044433354258,-3.47913949867018,0.15786460755495405
2,3,0.18643432795352397,-4.197062841295264,0.023976115328925778
2,4,0.36536090426438356,-3.29440567387321,-0.3455446674996813
0,All,0.22296663550734108,-0.4013839299583266,0.11295357289225547
2,All,0.20779914179619416,-0.44390048734744747,0.15135595753240086
1,All,0.2125710979126247,-0.4827274067599092,0.12152569106317031
All,4,0.37552171544362367,-2.9214612021896147,-0.311995174712627
All,2,0.1273515902174745,-2.1031639194583374,0.1827888838896989
All,1,0.11951298653748321,-2.4550862758442618,0.004603737235435869
All,0,0.11409230478783708,-5.223838292692259,-0.04234527754004697
All,3,0.1961212389154033,-2.273642891304122,0.01773613105482158
All,All,0.2145804759726201,-0.43793982566575207,0.12835769871967936
