cap_level,diff_level,RMSE,R2,Spearman
0,0,4.665263373010743,-1.4501865473168762,0.34562294350889927
0,1,5.579649480234608,-2.146856639545662,0.2978144609784461
0,2,5.9216300460529325,-1.5642053826792535,0.19538636682361252
0,3,5.803599718437337,-0.6159732062693939,0.2495066912611983
0,4,12.883203791916962,-0.6329777452832857,0.4282857258122018
1,0,4.89486998386043,-22.73097751775854,0.2611203341456351
1,1,5.643022945378612,-10.5531945420666,0.132786416035878
1,2,5.795029305900066,-5.284417386520675,-0.033561955930244323
1,3,5.782699099835477,-2.897901581368993,-0.013622829997139017
1,4,13.443796388098754,-0.8219512994076577,0.2818568247592682
2,0,4.8651321780043455,-18.62057060603615,0.35652388730857376
2,1,5.605606717344692,-8.280538710395714,0.15845300582042174
2,2,5.880989043081834,-4.411248024271264,-0.055595587077591026
2,3,5.989863385254009,-2.257120688334227,-0.07407561920120818
2,4,13.732404682670195,-0.7732921150148444,0.21065467175347016
0,All,7.644265787499348,0.3958069943717406,0.5548674676060033
1,All,7.856552681238373,0.3035414518334605,0.5333416591874472
2,All,7.991909706768591,0.2678786881026337,0.5173973788794806
All,3,5.859460781365768,-1.493163935842868,0.062222894715469136
All,0,4.809502594098019,-4.34777427841742,0.34181613751836143
All,2,5.866120216503297,-2.970245753183964,0.04297241618726818
All,1,5.609486695289561,-4.471039187608912,0.2087992926128763
All,4,13.357788485091673,-0.7285458523204913,0.3198326583931306
All,All,7.8322163790366295,0.32811252586999873,0.5359549959145073
