cap_level,diff_level,RMSE,R2,Spearman
0,0,1.010094731784716,0.38541952761776177,0.46925442464260875
0,1,1.2840993730239336,0.41918198594245837,0.5710954834012001
0,2,1.6336459955247915,0.4194595991875373,0.6686636787779352
0,3,2.6536022102424437,-0.14464179191904192,0.684309681825678
0,4,4.478699691197969,-1.7828190252650358,0.42665934906173386
1,0,0.6536343046158697,-0.7205177929587907,0.15858100341594067
1,1,0.8196865315769455,-0.5401700435045815,0.11124318546141504
1,2,0.973774065571049,-0.36619652540267844,0.21763481954366323
1,3,1.2972978251569307,-0.5680081622417836,0.2616545016927017
1,4,2.7174865123318823,-1.2553882798072258,0.21318109554484793
2,0,0.533227956815992,-1.2491592317240867,0.10658569923330755
2,1,0.6285433006197786,-0.29171834919922945,0.10982487640493921
2,2,0.6758313706043558,-0.12650466291518248,0.18193088954610523
2,3,0.8285425769048346,-0.24382141027293636,0.16116751712650498
2,4,1.8439422187929457,-0.274159583531697,0.21348415444969482
0,All,2.5333954282549973,0.16132289564553182,0.5792002414284096
1,All,1.4777160670534817,-0.09968487091068101,0.2897010565706462
2,All,1.0124665604205252,0.023214791787989908,0.2163387382954388
All,4,3.206431389925022,-0.27751129635168303,0.4953093743209737
All,1,0.9514662177578188,0.46651335007301054,0.4381936789333666
All,3,1.7711643194148297,0.4196461983043197,0.609356328570445
All,0,0.759794100459694,0.3426152109115913,0.3747214134792261
All,2,1.165301564827165,0.5591965359367583,0.5637859154501917
All,All,1.7913519760878096,0.34716864354713695,0.5202619045933308
