cap_level,diff_level,RMSE,R2,Spearman
0,0,1.3363508409945133,-0.07571079643684109,0.5229140275866174
0,1,1.4271682430636385,0.2825474948427694,0.6098799169056858
0,2,1.357428245451342,0.5991791479444717,0.722604779844841
0,3,1.3733886782231217,0.6933910106351596,0.8056757747007646
0,4,2.358262509866733,0.2284476967908099,0.6846983541607317
1,0,0.7947507937903371,-1.5436153355939242,0.2115787172621845
1,1,0.9055892891337244,-0.8799038106686428,0.225133280733803
1,2,0.867985384870201,-0.0854794201346214,0.3678681982062981
1,3,1.0229788010343537,0.025005407426687887,0.37065235166215865
1,4,1.8057460575845796,0.004136361389145415,0.46904196678327387
2,0,0.5492728778484953,-1.3865508391079575,0.2927831016627154
2,1,0.6166214963880681,-0.2431820962576685,0.40079199749512573
2,2,0.6274022895718454,0.02915812936986828,0.4511731931812399
2,3,0.7888657916626176,-0.1275468972309841,0.36378972915387314
2,4,1.5225249667185545,0.13132353546283615,0.41025306736877276
0,All,1.6103280135577327,0.6611421755715384,0.7733133906179714
1,All,1.1341305260500716,0.352242665108068,0.4915694771205829
2,All,0.8897514280704547,0.2456461952495156,0.4702994293785176
All,4,1.9270186960005113,0.5385839441607398,0.7572059257248247
All,1,1.0387690189852823,0.3641205546540325,0.6089683681266513
All,3,1.08857572483385,0.7807738206363533,0.762792296094091
All,0,0.9520439571079131,-0.032147626803519236,0.5231031027227353
All,2,0.998272458276025,0.6765057853380672,0.7139150695913827
All,All,1.2478068714242627,0.6832374010918294,0.7082514935330648
