cap_level,diff_level,RMSE,R2,Spearman
0,0,217.00203342228937,-0.9609007275840526,0.1263797069360473
0,1,188.65999878630925,0.5260241698451038,-0.01750225208298749
0,2,300.4826219257924,-0.2824641845511455,0.13539626924366244
0,3,567.4409411004722,-0.8773402485539912,0.3183417496125318
0,4,3758.96501624609,-1.2328404124590109,-0.04016614234142104
1,0,222.9728367900125,-2.667653997159181,-0.41592066176172704
1,1,139.81681019690586,-1.0451076587478085,-0.040943129945365676
1,2,180.4051779107026,-0.8186796850035276,-0.07988632640723121
1,3,576.7232748714566,-4.635975571015233,-0.2846104014410834
1,4,2926.8928420971133,-0.9546618921989185,-0.14614235842108111
2,0,163.44808967242676,-1.5469794825310839,-0.15559793307086617
2,1,189.46214342535458,-3.366718544348557,-0.7457103771741255
2,2,214.48436337577243,-1.2321990627117185,0.15890169059749887
2,3,396.6611964362249,-1.2595038335879467,-0.45643566019042503
2,4,2673.949000985397,-0.7246929165390648,0.3002938281611857
0,All,1775.3297988893366,-0.08679076804487806,0.3992238079030789
2,All,1263.0298764390627,-0.11924495524875911,-0.04377845844805938
1,All,1396.3442461701545,-0.19565692059973117,-0.05324512735298585
All,2,238.18623914581045,-0.4840188401046319,0.08031892423285084
All,4,3161.087355963608,-0.8819212285431004,0.2404875823144713
All,0,202.86303641257433,-1.4345478299091887,-0.15563092720326555
All,3,520.1567608978653,-1.0177173880924464,-0.13013857376744975
All,1,174.56110850856342,0.07479267946546608,-0.2855924367739069
All,All,1497.2308226598248,-0.10571551846218075,0.13261406529634745
